TransactionID,StoreID,ProductID,CustomerID,TransactionDate,Quantity,UnitPrice,Discount,TotalAmount
TXN-20240115-001,ST-001,PRD-12345,CUST-5001,2024-01-15 09:15:00,2,49.99,0,99.98
TXN-20240115-002,ST-001,PRD-12346,CUST-5002,2024-01-15 09:22:00,1,129.99,10,116.99
TXN-20240115-003,ST-002,PRD-12347,CUST-5003,2024-01-15 09:30:00,3,24.99,0,74.97
TXN-20240115-004,ST-003,PRD-12348,CUST-5001,2024-01-15 10:05:00,1,199.99,15,169.99
TXN-20240115-005,ST-001,PRD-12349,CUST-5004,2024-01-15 10:45:00,2,39.99,5,75.98
TXN-20240115-006,ST-002,PRD-12345,CUST-5005,2024-01-15 11:20:00,1,49.99,0,49.99
TXN-20240115-007,ST-004,PRD-12350,CUST-5006,2024-01-15 11:55:00,4,19.99,0,79.96
TXN-20240115-008,ST-003,PRD-12346,CUST-5007,2024-01-15 12:30:00,1,129.99,20,103.99
TXN-20240115-009,ST-001,PRD-12351,CUST-5008,2024-01-15 13:10:00,2,89.99,0,179.98
TXN-20240115-010,ST-005,PRD-12352,CUST-5009,2024-01-15 13:45:00,1,299.99,0,299.99
TXN-20240115-011,ST-002,PRD-12353,,2024-01-15 14:20:00,3,14.99,0,44.97
TXN-20240115-012,ST-001,PRD-12354,CUST-5010,2024-01-15 14:55:00,1,59.99,10,53.99
TXN-20240115-013,ST-003,PRD-12355,CUST-5002,2024-01-15 15:30:00,2,79.99,5,151.98
TXN-20240115-014,ST-004,PRD-12345,CUST-5003,2024-01-15 16:05:00,1,49.99,0,49.99
TXN-20240115-015,ST-005,PRD-12356,,2024-01-15 16:40:00,5,9.99,0,49.95
TXN-20240115-016,ST-001,PRD-12357,CUST-5004,2024-01-15 17:15:00,1,149.99,0,149.99
TXN-20240115-017,ST-002,PRD-12358,CUST-5011,2024-01-15 17:50:00,2,34.99,0,69.98
TXN-20240115-018,ST-003,PRD-12359,CUST-5012,2024-01-15 18:25:00,1,199.99,15,169.99
TXN-20240115-019,ST-001,PRD-12360,CUST-5013,2024-01-15 19:00:00,3,29.99,0,89.97
TXN-20240115-020,ST-004,PRD-12345,CUST-5014,2024-01-15 19:35:00,2,49.99,10,89.98
